,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
223,8386,0710C084,0000 0035 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C084,1
224,8413,0498012,0000 1432 LOMBARD             ST0000,"(37.801539498572, -122.4252873223)",0498012,1
225,8594,0710C112,0000 0085 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C112,1
226,8596,5980002,0000 0204 GIRARD              ST0000,"(37.7295042800285, -122.405709539553)",5980002,1
227,8614,1018006,0422 0418 SPRUCE              ST0000,"(37.7869649981235, -122.453197935615)",1018006,1
228,8634,0710C082,0000 0035 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C082,1
229,8675,0710C031,0000 1445 LAGUNA                0001,"(37.7842359166421, -122.428680459592)",0710C031,1
230,8727,3727199,0671 0677 SITUS TO BE ASSIGNEDST0000,"(37.7771139041253, -122.411882309242)",3727199,2
231,8751,3618001,0902 0900 GUERRERO            ST0000,"(37.7565809218821, -122.423615265008)",3618001,1
232,8844,0710C013,0000 1545 GEARY                 0001,"(37.7842359166421, -122.428680459592)",0710C013,1
233,8860,1211017,1960 1956 FELL                ST0000,"(37.7727544388276, -122.450153249695)",1211017,1
234,8877,1247003,0025 0021 BELVEDERE           ST0000,"(37.769221810336, -122.449882931338)",1247003,1
235,8883,3785156,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785156,1
236,8908,1427032,4457 4451 CALIFORNIA          ST0000,"(37.7846270159316, -122.465340091062)",1427032,1
237,8929,6742009,0000 0673 CHENERY             ST0000,"(37.7343257681017, -122.433354300093)",6742009,1
238,8979,3733034,0381 0379 CLEMENTINA          ST0000,"(37.7809743729532, -122.403281682444)",3733034,1
239,8980,4210026,1153 1151 YORK                ST0000,"(37.7536344794777, -122.407986022483)",4210026,1
240,9053,4280001,1402 1400 KANSAS              ST0000,"(37.7517566472682, -122.402477409904)",4280001,1
241,9132,5708016,0227 0225 BENNINGTON          ST0000,"(37.7380107666008, -122.417730520954)",5708016,1
242,9146,0711C049,0000 1250 ELLIS               ST0001,"(37.7835963351412, -122.42679775829)",0711C049,1
243,9169,0935009,3148 3146 BRODERICK           ST0000,"(37.7995084294274, -122.444179153052)",0935009,1
244,9201,1269022,0000 0905 ASHBURY             ST0000,"(37.7654862738511, -122.446325164952)",1269022,1
245,9231,0710C113,0000 0085 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C113,1
246,9244,6579032,0000 3983 CESAR CHAVEZ        ST0000,"(37.7473455833575, -122.42878222191)",6579032,1
247,9370,0711C046,0000 1220 ELLIS               ST0010,"(37.7835963351412, -122.42679775829)",0711C046,1
248,9468,4148028,2619 2615 HARRISON            ST0000,"(37.7554604541559, -122.411849682319)",4148028,1
249,9514,0710C008,0000 0020 BERTIE MINOR          0002,"(37.7842359166421, -122.428680459592)",0710C008,1
250,9543,3564080A,0389 0385 NOE                 ST0000,"(37.7629227841891, -122.432778404538)",3564080A,1
251,9572,1252038,0000 0726 COLE                ST0000,"(37.767809095714, -122.450024202053)",1252038,1
252,9628,4150015,2872 2868 23RD                ST0000,"(37.7545952975644, -122.409737647933)",4150015,1
253,9685,4264007,1370 1368 UTAH                ST0000,"(37.7521671446987, -122.405554060801)",4264007,1
254,9714,0254018,0970 0966 PINE                ST0000,"(37.790935780197, -122.411857975768)",0254018,1
255,9786,2651005,0131 0129 ORD                 ST0000,"(37.7616424003637, -122.439774018777)",2651005,1
256,9790,0558043,2835 2833 FILLMORE            ST0000,"(37.7955201668009, -122.435346601994)",0558043,1
257,9805,0982016,3188 3184 WASHINGTON          ST0000,"(37.7903850391445, -122.445713757271)",0982016,1
258,9820,3785145,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785145,1
259,9835,2698034,4345 4341 19TH                ST0000,"(37.7589094910912, -122.437733611975)",2698034,1
260,9850,3542030,0779 0775 14TH                ST0000,"(37.7673717075932, -122.430558668159)",3542030,1
261,9909,0710C085,0000 0045 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C085,1
262,9929,0077041,0000 0403 LOMBARD             ST0000,"(37.8032017707342, -122.408283403984)",0077041,1
263,9996,1090005,0000 0251 COLLINS             ST0000,"(37.7813299595001, -122.450250408184)",1090005,1
264,10001,4028001O,0668 0666 VERMONT             ST0000,"(37.7612136953657, -122.404481314957)",4028001O,1
265,10009,3727027,0665 0663 NATOMA              ST0000,"(37.7771859008373, -122.411216499081)",3727027,1
266,10090,1187003F,1836 1834 GROVE               ST0000,"(37.7750114058314, -122.447025845508)",1187003F,1
267,10101,1366021,4418 4414 CALIFORNIA          ST0000,"(37.7851887905825, -122.464946655247)",1366021,2
268,10165,0711C027,0000 0085 CLEARY              CT0003,"(37.7835963351412, -122.42679775829)",0711C027,1
269,10190,6521041,0000 0061 LUCKY               ST0000,"(37.7515447474103, -122.413301598847)",6521041,1
270,10199,4158055,1063 1061 KANSAS              ST0000,"(37.7562738612352, -122.402414266319)",4158055,1
271,10252,0710C060,0000 0045 LOTTIE BEN            0006,"(37.7842359166421, -122.428680459592)",0710C060,1
272,10255,0711C030,0000 0085 CLEARY              CT0006,"(37.7835963351412, -122.42679775829)",0711C030,1
273,10263,4272017,3006 3000 26TH                ST0000,"(37.7497095530228, -122.40996805568)",4272017,1
274,10290,0711C040,0000 1220 ELLIS               ST0004,"(37.7835963351412, -122.42679775829)",0711C040,1
275,10305,3785181,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785181,1
276,10367,0827027,0853 0849 FELL                ST0000,"(37.7745163345034, -122.431798752213)",0827027,1
277,10495,3606083,0849 0841 CHURCH              ST0000,"(37.7575471666558, -122.427800852861)",3606083,1
278,10532,1230003,0000 0521 CLAYTON             ST0000,"(37.7703952385386, -122.449006507449)",1230003,1
279,10557,0152034,1253 1249 VALLEJO             ST0000,"(37.7971575728178, -122.417794658268)",0152034,1
280,10566,0710C006,0000 0010 BERTIE MINOR          0006,"(37.7842359166421, -122.428680459592)",0710C006,1
281,10672,2804005,1142 1140 CASTRO              ST0000,"(37.7523115173355, -122.434463525133)",2804005,1
282,10801,0860011A,0436 0434 WALLER              ST0000,"(37.7712942392325, -122.430908708369)",0860011A,1
283,10923,0710C100,0000 0065 WESTERN SHORE         0005,"(37.7842359166421, -122.428680459592)",0710C100,1
284,10955,3579033,0000 3621 17TH                ST0000,"(37.7627680804633, -122.426800149047)",3579033,1
285,10956,0634002,2111 2109 STEINER             ST0000,"(37.7892435308999, -122.435805885555)",0634002,1
286,10967,1638018,0000 0508 CABRILLO            ST0000,"(37.7754995255298, -122.464170168181)",1638018,1
287,11051,3785184,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785184,1
288,11096,6532004,0322 0320 SAN JOSE            AV0000,"(37.7500117301483, -122.421645402893)",6532004,1
289,11136,6493016,0347 0345 HANOVER             ST0000,"(37.70863417729, -122.443489960395)",6493016,1
290,11138,3785171,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785171,1
291,11181,0710C087,0000 0045 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C087,1
292,11249,1929A009C,0000 0730 MORAGA              ST0000,"(37.7566237187221, -122.470546438129)",1929A009C,1
293,11255,3642044,0870 0866 CAPP                ST0000,"(37.7527824014499, -122.417711890531)",3642044,1
294,11261,3593016B,2323 2319 FOLSOM              ST0000,"(37.7601191330272, -122.414541400455)",3593016B,1
295,11279,6665055,0000 0033 MIGUEL              ST0000,"(37.739320924239, -122.430075742682)",6665055,1
296,11291,3582025,0075 0071 HARTFORD            ST0000,"(37.7613768336364, -122.43361776087)",3582025,1
297,11297,1176017,1678 1674 FULTON              ST0000,"(37.7763043528265, -122.444387135167)",1176017,1
298,11340,4068019,0403 0401 ARKANSAS            ST0000,"(37.7610756005684, -122.398058366667)",4068019,1
299,11402,1267003,0815 0813 COLE                ST0000,"(37.7664391356867, -122.450331284144)",1267003,1
300,11404,4270004,1234 1232 ALABAMA             ST0000,"(37.7521225461376, -122.411212939446)",4270004,1
301,11472,0124033,2158 2152 LARKIN              ST0000,"(37.7978562050115, -122.420197131649)",0124033,1
302,11565,3785154,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785154,1
303,11589,0842010,0542 0540 PAGE                ST0000,"(37.7734406081782, -122.429729188797)",0842010,1
304,11690,3576077,0000 0084 SYCAMORE            ST0000,"(37.7627936900778, -122.42114790482)",3576077,1
305,11764,0711C009,0000 0045 CLEARY              CT0009,"(37.7835963351412, -122.42679775829)",0711C009,1
306,11788,1126006,1217 1215 DIVISADERO          ST0000,"(37.7808410529945, -122.439307433518)",1126006,1
307,11791,5721063,0356 0354 PARK                ST0000,"(37.7361582928164, -122.417911272307)",5721063,1
308,11792,1160016,2072 2070 MCALLISTER          ST0000,"(37.7770931645949, -122.446134021223)",1160016,1
309,11805,0186004A,1439A1435 HYDE                ST0000,"(37.7941188658132, -122.418340588592)",0186004A,1
310,11835,4152037,1023 1021 YORK                ST0000,"(37.7556744347675, -122.408181785467)",4152037,1
311,11848,1378018,5644 5642 CALIFORNIA          ST0000,"(37.7844279270174, -122.478330365394)",1378018,1
312,11864,0661015B,1816 1814 WEBSTER             ST0000,"(37.7878140457976, -122.431398630137)",0661015B,1
313,11906,6530003A,0430 0428 BARTLETT            ST0000,"(37.7500297712453, -122.419654975347)",6530003A,1
314,11909,2690031,0000 4615 18TH                ST0000,"(37.7602124893817, -122.441900267697)",2690031,1
315,11979,3785163,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785163,1
316,11996,5802027,0000 3967 MISSION             ST0000,"(37.7341754114021, -122.425493265476)",5802027,1
317,12273,0710C068,0000 0015 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C068,1
318,12321,0710C049,0000 0035 LOTTIE BEN            0001,"(37.7842359166421, -122.428680459592)",0710C049,1
319,12385,0711C059,0000 1250 ELLIS               ST0011,"(37.7835963351412, -122.42679775829)",0711C059,1
