,Unnamed: 0,Block and Lot Number,Property Location,Location,blklot,BuildingFire
423,16310,0984024,0114 0108 WALNUT              ST0000,"(37.7902845297212, -122.448867055723)",0984024,1
424,16410,3785180,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785180,1
425,16437,3583030,0145 0143 HARTFORD            ST0000,"(37.7603052582192, -122.433515525001)",3583030,1
426,16493,3785174,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785174,1
427,16576,0511024A,2376 2374 GREENWICH           ST0000,"(37.7988206178171, -122.43874594716)",0511024A,1
428,16589,1185032,1647 1645 FULTON              ST0000,"(37.7758472742685, -122.443855622494)",1185032,1
429,16616,1383018,0000 6104 CALIFORNIA          ST0000,"(37.7842129705753, -122.483163743307)",1383018,1
430,16654,6617026,1553 1551 DOLORES             ST0000,"(37.7445361835141, -122.424070588747)",6617026,1
431,16663,0091047,0865 0863 GREENWICH           ST0000,"(37.8015928656524, -122.413832521686)",0091047,1
432,16665,0076020,1922 1918 POWELL              ST0000,"(37.8024248341812, -122.410984796619)",0076020,1
433,16695,0179002,1153 1151 STOCKTON            ST0000,"(37.7964389167641, -122.408633141487)",0179002,1
434,16698,5615006,0076 0074 COLERIDGE           ST0000,"(37.7446297753196, -122.419377754912)",5615006,1
435,16773,0710C064,0000 0001 WESTERN SHORE         0004,"(37.7842359166421, -122.428680459592)",0710C064,1
436,16804,0875015,0371 0367 HERMANN             ST0000,"(37.7698839803865, -122.431118427083)",0875015,1
437,16817,0710C016,0000 1545 GEARY                 0004,"(37.7842359166421, -122.428680459592)",0710C016,1
438,16860,6664009,0208 0206 FAIRMOUNT           ST0000,"(37.7388696805091, -122.42767479303)",6664009,1
439,16888,3633027,3357 3355 22ND                ST0000,"(37.7549839137323, -122.422196960978)",3633027,1
440,16929,0804001A,0647 0645 WEBSTER             ST0000,"(37.7767535720632, -122.429903937169)",0804001A,1
441,16974,0101013,0000 0772 UNION               ST0000,"(37.8003704020257, -122.412043043131)",0101013,1
442,16991,0711C052,0000 1250 ELLIS               ST0004,"(37.7835963351412, -122.42679775829)",0711C052,1
443,17007,3578046,0024 0020 DORLAND             ST0000,"(37.7625159799728, -122.424449458452)",3578046,1
444,17107,3566043,0000 0455 CHURCH              ST0000,"(37.7635535518939, -122.428306446503)",3566043,1
445,17164,0710C011,0000 0020 BERTIE MINOR          0005,"(37.7842359166421, -122.428680459592)",0710C011,1
446,17175,0710C104,0000 0075 WESTERN SHORE         0003,"(37.7842359166421, -122.428680459592)",0710C104,1
447,17177,0710C108,0000 0085 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C108,1
448,17236,0634015A,2008 2006 PIERCE              ST0000,"(37.7888017515722, -122.436982545442)",0634015A,2
449,17326,6531009,0000 1448 VALENCIA            ST0000,"(37.749666970523, -122.420725362366)",6531009,1
450,17335,3785169,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785169,1
451,17375,1255066,0054 0052 DELMAR              ST0000,"(37.7681971463042, -122.445512142884)",1255066,1
452,17437,3556004,0318 0314 GUERRERO            ST0000,"(37.766040715383, -122.424543329072)",3556004,1
453,17485,0777008,1116 1114 FULTON              ST0000,"(37.7774784723628, -122.435562191336)",0777008,1
454,17518,0710C096,0000 0065 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C096,1
455,17520,4102064,0511 0509 TEXAS               ST0000,"(37.7599098197175, -122.394987841896)",4102064,1
456,17591,0711C028,0000 0085 CLEARY              CT0004,"(37.7835963351412, -122.42679775829)",0711C028,1
457,17654,0710C012,0000 0020 BERTIE MINOR          0006,"(37.7842359166421, -122.428680459592)",0710C012,1
458,17724,3544047,1964 1960 15TH                ST0000,"(37.7663816817812, -122.428050673845)",3544047,1
459,17734,0711C023,0000 0065 CLEARY              CT0011,"(37.7835963351412, -122.42679775829)",0711C023,1
460,17831,3576046,0014 0012 LEXINGTON           ST0000,"(37.7624344053813, -122.421089759751)",3576046,1
461,17852,1269139,2060 2040 DOWNEY              ST0000,"(37.7653265525573, -122.446617968178)",1269139,1
462,17880,0528002C,1620 1614 UNION               ST0000,"(37.7985064491607, -122.426080388263)",0528002C,1
463,17888,0216012,1470 1468 CLAY                ST0000,"(37.7930295990354, -122.417268797491)",0216012,1
464,17973,2175031,0000 3333 QUINTARA            ST0000,"(37.7472893492847, -122.50120265416)",2175031,1
465,18039,0710C053,0000 0035 LOTTIE BEN            0005,"(37.7842359166421, -122.428680459592)",0710C053,1
466,18091,4002020,0235 0231 MISSOURI            ST0000,"(37.7634076719961, -122.396292630443)",4002020,1
467,18097,0221019,0030 0026 PLEASANT            ST0000,"(37.7930429274068, -122.413297623526)",0221019,1
468,18133,3564086A,0000 0333 NOE                 ST0000,"(37.7636262015968, -122.432722815628)",3564086A,1
469,18161,6617031,0063 0061 VALLEY              ST0000,"(37.7444523289248, -122.423465221464)",6617031,1
470,18171,0633010,0000 2032 SCOTT               ST0000,"(37.7889722837186, -122.438649171973)",0633010,1
471,18289,3561017,3620 3618 16TH                ST0000,"(37.7644705493895, -122.433691420306)",3561017,1
472,18315,3533031,0079 0075 BROSNAN             ST0000,"(37.7685063155764, -122.42388283889)",3533031,1
473,18396,1481001O,0088 0086 SEAL ROCK           DR0000,"(37.7809459028045, -122.50781385441)",1481001O,1
474,18404,0710C040,0000 1455 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C040,1
475,18419,4004008,0258 0256 CONNECTICUT         ST0000,"(37.7630529515371, -122.397858098587)",4004008,1
476,18463,0710C048,0000 1465 LAGUNA                0006,"(37.7842359166421, -122.428680459592)",0710C048,1
477,18484,0711C005,0000 0045 CLEARY              CT0005,"(37.7835963351412, -122.42679775829)",0711C005,1
478,18512,1054018,0000 2626 SUTTER              ST0000,"(37.7849257049006, -122.444334874055)",1054018,1
479,18526,3785139,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785139,1
480,18541,1225025,4340 4320 COLE                ST0000,"(37.7710261982204, -122.450204607145)",1225025,1
481,18568,3731062,0063 0061 MOSS                ST0000,"(37.7777896403307, -122.40777855746)",3731062,1
482,18657,4100030,0000 0507 CONNECTICUT         ST0000,"(37.7596617739182, -122.39695126313)",4100030,1
483,18711,3577025,0575 0573 GUERRERO            ST0000,"(37.7620752348653, -122.423457267967)",3577025,1
484,18721,0501003,2547 2543 LARKIN              ST0000,"(37.8013958936152, -122.421486801515)",0501003,1
485,18733,0710C028,0000 1435 LAGUNA                0004,"(37.7842359166421, -122.428680459592)",0710C028,1
486,18735,3785152,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785152,1
487,18774,1230028,1765 1761 PAGE                ST0000,"(37.7703298076274, -122.449661241124)",1230028,1
488,18779,0710C102,0000 0075 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C102,1
489,18791,7112017,0067 0065 BROAD               ST0000,"(37.7129161758217, -122.455177601602)",7112017,1
490,18821,1066036,0000 0656 SPRUCE              ST0000,"(37.7827124312279, -122.453053335723)",1066036,1
491,18832,6596003,3212 3208 MISSION             ST0000,"(37.7453968703101, -122.420355930598)",6596003,1
492,18914,0860046,0237 0235 LAUSSAT             ST0000,"(37.7714569514542, -122.430941493752)",0860046,1
493,18937,3589058,0165 0161 LEXINGTON           ST0000,"(37.7607885290232, -122.420512753426)",3589058,1
494,18954,0711C060,0000 1250 ELLIS               ST0012,"(37.7835963351412, -122.42679775829)",0711C060,1
495,19085,0542003,2821 2819 LAGUNA              ST0000,"(37.7971375190078, -122.430803570614)",0542003,1
496,19205,0149006,1533 1529 MASON               ST0000,"(37.7976368279686, -122.412186166839)",0149006,1
497,19241,6748005,4020 4018 MISSION             ST0000,"(37.733303277272, -122.427109814311)",6748005,1
498,19399,0710C035,0000 1445 LAGUNA                0005,"(37.7842359166421, -122.428680459592)",0710C035,1
499,19424,0651009,2070 2068 PINE                ST0000,"(37.7886417843291, -122.429984693741)",0651009,1
500,19435,0478004,2811 2809 POLK                ST0000,"(37.8026769257179, -122.423395267487)",0478004,1
501,19440,0479006,1346 1344 CHESTNUT            ST0000,"(37.8024560804374, -122.425611699369)",0479006,1
502,19456,6656041,1835 1833 CHURCH              ST0000,"(37.7412220940547, -122.426460047276)",6656041,1
503,19516,4208037,2873 2871 23RD                ST0000,"(37.7541286152891, -122.409878056585)",4208037,1
504,19535,3574089,3242 3236 18TH                ST0000,"(37.7622376090379, -122.415831055136)",3574089,1
505,19618,0775015,1386 1382 MCALLISTER          ST0000,"(37.7784849507342, -122.434758336179)",0775015,1
506,19663,0858022,0000 0371 HAIGHT              ST0000,"(37.7721767380149, -122.428259416732)",0858022,1
507,19723,0711C017,0000 0065 CLEARY              CT0005,"(37.7835963351412, -122.42679775829)",0711C017,1
508,19754,7146007A,0010 0008 REGENT              ST0000,"(37.7094633887483, -122.455834731855)",7146007A,1
509,19765,3600046,0252 0250 CUMBERLAND          ST0000,"(37.7590608196428, -122.429300234027)",3600046,1
510,19816,0847011,0616 0614 HAIGHT              ST0000,"(37.7720970586994, -122.432776362363)",0847011,1
511,19828,0753014,1675 1671 TURK                ST0000,"(37.779721306328, -122.436673172703)",0753014,1
512,19874,0711C013,0000 0065 CLEARY              CT0001,"(37.7835963351412, -122.42679775829)",0711C013,1
513,19910,0710C044,0000 1465 LAGUNA                0002,"(37.7842359166421, -122.428680459592)",0710C044,1
514,19933,0710C067,0000 0015 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C067,1
515,19967,0711C031,0000 0085 CLEARY              CT0007,"(37.7835963351412, -122.42679775829)",0711C031,1
516,20035,1894044,0000 4407 KIRKHAM             ST0000,"(37.7582580524395, -122.508198843917)",1894044,1
517,20139,0710C090,0000 0055 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C090,1
518,20210,3785155,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785155,1
519,20217,1201013,0000 1334 HAYES               ST0000,"(37.7751889314459, -122.438509296865)",1201013,1
520,20227,0129002A,1549 1547APOWELL              ST0000,"(37.7989313743062, -122.411067840317)",0129002A,1
521,20244,6246024,0539 0537 DELTA               ST0000,"(37.7132460229188, -122.409197874247)",6246024,1
522,20412,0276011,1028 1022 BUSH                ST0000,"(37.789702413584, -122.41423216212)",0276011,1
523,20467,0711C011,0000 0045 CLEARY              CT0011,"(37.7835963351412, -122.42679775829)",0711C011,1
524,20534,3589067,0125 0123 LEXINGTON           ST0000,"(37.7613428353395, -122.420565829796)",3589067,1
525,20538,1177021A,1598 1596 FULTON              ST0000,"(37.7764715158714, -122.443017550848)",1177021A,1
526,20618,0711C043,0000 1220 ELLIS               ST0007,"(37.7835963351412, -122.42679775829)",0711C043,1
527,20706,3564083,0373 0371 NOE                 ST0000,"(37.7631485905985, -122.432677003737)",3564083,1
528,20769,4260018,0000 1355 KANSAS              ST0000,"(37.752514666012, -122.402054042245)",4260018,1
529,20774,0956017C,0000 2887 GREEN               ST0000,"(37.7945021150493, -122.446471005406)",0956017C,1
530,20817,6076025,0481 0479 VIENNA              ST0000,"(37.7206878864931, -122.429896616196)",6076025,1
531,20830,0710C029,0000 1435 LAGUNA                0005,"(37.7842359166421, -122.428680459592)",0710C029,1
532,20927,4167004A,0000 0000                       0000,"(37.7561843875536, -122.395936295528)",4167004A,1
533,20934,0550012,1536 1534 VALLEJO             ST0000,"(37.7970774307709, -122.422632711416)",0550012,1
534,20965,1635032,0835 0833 BALBOA              ST0000,"(37.7768125183358, -122.467823986557)",1635032,1
535,21038,6576007,0028 0026 27TH                ST0000,"(37.7474265928983, -122.421907595054)",6576007,1
536,21067,3613028,0000 2521 FOLSOM              ST0000,"(37.7569235974866, -122.414143361449)",3613028,1
537,21089,3575029,0000 3378 18TH                ST0000,"(37.7620481511263, -122.418853453101)",3575029,1
538,21234,0913034,1839 1837 JEFFERSON           ST0000,"(37.8044877371184, -122.442716584436)",0913034,1
539,21261,0710C007,0000 0020 BERTIE MINOR          0001,"(37.7842359166421, -122.428680459592)",0710C007,1
540,21288,4084022,0000 2475 HARRISON            ST0000,"(37.757854098937, -122.412082244056)",4084022,1
541,21290,3576023,0021 0019 SYCAMORE            ST0000,"(37.7625544798771, -122.419899983693)",3576023,1
542,21296,1080027,2447 2443 POST                ST0000,"(37.783730288591, -122.442049833589)",1080027,1
543,21356,0598008,1760 1756 WASHINGTON          ST0000,"(37.7933675046344, -122.422239020849)",0598008,1
544,21416,3544015,1912 1908 15TH                ST0000,"(37.7664580319627, -122.426895693296)",3544015,1
545,21479,1267052,0451 0449 FREDERICK           ST0000,"(37.7662913108587, -122.451362405092)",1267052,1
546,21490,0710C047,0000 1465 LAGUNA                0005,"(37.7842359166421, -122.428680459592)",0710C047,1
547,21526,0077006,0052 0050 EDITH               ST0000,"(37.8028784645362, -122.408844583247)",0077006,1
548,21570,0710C004,0000 0010 BERTIE MINOR          0004,"(37.7842359166421, -122.428680459592)",0710C004,1
549,21596,4150036,2898 2882 23RD                ST0000,"(37.7545503280637, -122.410006030099)",4150036,1
550,21674,0711C015,0000 0065 CLEARY              CT0003,"(37.7835963351412, -122.42679775829)",0711C015,1
551,21823,3576042,0017 0015 LEXINGTON           ST0000,"(37.7623909183558, -122.420669821143)",3576042,1
552,21884,0710C038,0000 1455 LAGUNA                0002,"(37.7842359166421, -122.428680459592)",0710C038,1
553,21946,0710C059,0000 0045 LOTTIE BEN            0005,"(37.7842359166421, -122.428680459592)",0710C059,1
554,21954,0710C078,0000 0025 WESTERN SHORE         0006,"(37.7842359166421, -122.428680459592)",0710C078,1
555,21962,0806051,0537 0535 IVY                 ST0000,"(37.7767366370628, -122.426949256583)",0806051,1
556,22005,3727085,0000 0615 MINNA               ST0000,"(37.7783297425846, -122.410700377263)",3727085,1
557,22058,3557055A,0000 0110 LANDERS             ST0000,"(37.7658230505469, -122.427996076218)",3557055A,1
558,22119,0711C041,0000 1220 ELLIS               ST0005,"(37.7835963351412, -122.42679775829)",0711C041,1
559,22142,0711C042,0000 1220 ELLIS               ST0006,"(37.7835963351412, -122.42679775829)",0711C042,1
560,22152,0115013,0000 0422 GREEN               ST0000,"(37.8000156001251, -122.406336775112)",0115013,1
561,22155,0711C055,0000 1250 ELLIS               ST0007,"(37.7835963351412, -122.42679775829)",0711C055,1
562,22172,3641056,0959 0957 SHOTWELL            ST0000,"(37.753125511137, -122.414916725268)",3641056,1
563,22272,2658024,4680 4678 18TH                ST0000,"(37.7606006691351, -122.442973779692)",2658024,1
564,22298,1674007D,5540 5538 FULTON              ST0000,"(37.7724965632421, -122.491343721961)",1674007D,1
565,22309,0711C054,0000 1250 ELLIS               ST0006,"(37.7835963351412, -122.42679775829)",0711C054,1
566,22338,3785172,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785172,1
567,22400,0777002,0821 0817 PIERCE              ST0000,"(37.7778801502557, -122.435165997364)",0777002,1
568,22583,0711C004,0000 0045 CLEARY              CT0004,"(37.7835963351412, -122.42679775829)",0711C004,1
569,22601,0710C050,0000 0035 LOTTIE BEN            0002,"(37.7842359166421, -122.428680459592)",0710C050,1
570,22741,0710C023,0000 1555 GEARY                 0005,"(37.7842359166421, -122.428680459592)",0710C023,1
571,22777,3605061,3957 3955 20TH                ST0000,"(37.7577720910853, -122.429232859106)",3605061,1
572,22806,3985012,0000 1208 MARIPOSA            ST0000,"(37.7641160506438, -122.396054569659)",3985012,1
573,22843,0711C021,0000 0065 CLEARY              CT0009,"(37.7835963351412, -122.42679775829)",0711C021,1
574,22872,3650038,3779 3777 23RD                ST0000,"(37.7531241233557, -122.427038924284)",3650038,1
575,22880,0710C051,0000 0035 LOTTIE BEN            0003,"(37.7842359166421, -122.428680459592)",0710C051,1
576,22961,3576041,0025 0023 LEXINGTON           ST0000,"(37.7623224567834, -122.420663265086)",3576041,1
577,23147,0711C026,0000 0085 CLEARY              CT0002,"(37.7835963351412, -122.42679775829)",0711C026,1
578,23163,0710C037,0000 1455 LAGUNA                0001,"(37.7842359166421, -122.428680459592)",0710C037,1
579,23184,2748016C,0000 0085 CORWIN              ST0000,"(37.7570481027215, -122.440106402295)",2748016C,1
580,23192,0665032,0000 1719 PINE                ST0000,"(37.7889392433387, -122.424154814919)",0665032,2
581,23199,3729029,0769 0767 CLEMENTINA          ST0000,"(37.7744855460626, -122.411533983421)",3729029,1
582,23233,0947002,2857 2853 BRODERICK           ST0000,"(37.7967037564346, -122.44415954105)",0947002,2
583,23235,4786086,0000 1455 HAWES               ST0000,"(37.7269698909254, -122.38279266096)",4786086,1
584,23256,0710C033,0000 1445 LAGUNA                0003,"(37.7842359166421, -122.428680459592)",0710C033,1
585,23294,0710C024,0000 1555 GEARY                 0006,"(37.7842359166421, -122.428680459592)",0710C024,1
586,23356,2626017,0008A0006 SATURN              ST0000,"(37.762980110806, -122.440950722004)",2626017,1
587,23364,6722014,0132 0130 BOSWORTH            ST0000,"(37.7337183684609, -122.428301549609)",6722014,1
588,23400,1189001F,0033 0031 CLAYTON             ST0000,"(37.7748860083337, -122.449911343908)",1189001F,1
589,23414,3733161,0000 0320 CLEMENTINA          ST0000,"(37.782167548716, -122.402770566509)",3733161,4
590,23436,5746004,1080 0106 106A LEESE          ST0000,"(37.7356406210259, -122.423257961248)",5746004,1
591,23486,0711C056,0000 1250 ELLIS               ST0008,"(37.7835963351412, -122.42679775829)",0711C056,1
592,23517,0711C012,0000 0045 CLEARY              CT0012,"(37.7835963351412, -122.42679775829)",0711C012,1
593,23537,6663041,0119 0117 RANDALL             ST0000,"(37.7395981642612, -122.425990704418)",6663041,1
594,23539,3785143,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785143,1
595,23552,0710C079,0000 0035 WESTERN SHORE         0001,"(37.7842359166421, -122.428680459592)",0710C079,1
596,23730,0091021,0000 2004 TAYLOR              ST0000,"(37.8009869677122, -122.414111166199)",0091021,1
597,23777,6519007,0000 1022 SHOTWELL            ST0000,"(37.7516244132996, -122.415407486311)",6519007,1
598,23826,0089029,0621 0619 GREENWICH           ST0000,"(37.8020339556707, -122.409907147203)",0089029,1
599,23888,0711C010,0000 0045 CLEARY              CT0010,"(37.7835963351412, -122.42679775829)",0711C010,1
600,23898,2715039,0000 0131 CORWIN              ST0000,"(37.7574069766444, -122.440724162949)",2715039,1
601,23927,3588032,0000 0015 LAPIDGE             ST0000,"(37.761349161994, -122.422174426213)",3588032,1
602,23946,0711C025,0000 0085 CLEARY              CT0001,"(37.7835963351412, -122.42679775829)",0711C025,1
603,23992,3540021,2240 2238 15TH                ST0000,"(37.7660493500205, -122.434226859549)",3540021,1
604,24033,0711C037,0000 1220 ELLIS               ST0001,"(37.7835963351412, -122.42679775829)",0711C037,1
605,24116,0710C091,0000 0055 WESTERN SHORE         0002,"(37.7842359166421, -122.428680459592)",0710C091,1
606,24148,4147018,2872 2870 22ND                ST0000,"(37.7560757438602, -122.411866043058)",4147018,1
607,24163,0711C014,0000 0065 CLEARY              CT0002,"(37.7835963351412, -122.42679775829)",0711C014,1
608,24315,0821003,0000 0513 WEBSTER             ST0000,"(37.7756444934857, -122.42975155712)",0821003,1
609,24326,3785142,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785142,1
610,24360,3564086,0339 0335 NOE                 ST0000,"(37.7635577411695, -122.43271624891)",3564086,1
611,24400,3785141,0000 0168 BLUXOME             ST0000,"(37.774839394458, -122.399817161304)",3785141,1
612,24596,1623051,0000 2025 BALBOA              ST0000,"(37.7762246410744, -122.48069273279)",1623051,1
613,24652,3557018,0191 0187 LANDERS             ST0000,"(37.7648564316085, -122.427392989746)",3557018,1
614,24684,1216001B,4230 4210 SCOTT               ST0000,"(37.7736716573755, -122.436137177549)",1216001B,1
615,24685,0104024,0000 1500 GRANT               AV0000,"(37.8007922263386, -122.407498414919)",0104024,1
616,24695,0797017A,0880 0876 GROVE               ST0000,"(37.7770985686143, -122.431041529551)",0797017A,1
